===============================================================================
Id,newsRACE,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
60,newsRACE,60,2021-03-05 16:34:00,183.97000122070312,184.52999877929688,183.82000732421875,184.52999877929688,-2.3884635969941773e-08,,0.310235072953008,MA_cross_Sentiment,60,737854.6902777777,Broker,60,1000.0,1000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,,DrawDown,60,0.0,0.0
61,newsRACE,61,2021-03-05 16:36:00,184.64999389648438,184.89999389648438,184.64999389648438,184.67999267578125,-8.908156142548152e-08,,0.25348024907074385,MA_cross_Sentiment,61,737854.6916666667,Broker,61,1000.0,1000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,,DrawDown,61,0.0,0.0
62,newsRACE,62,2021-03-05 16:38:00,184.61199951171875,184.61199951171875,184.58999633789062,184.58999633789062,-1.309538693311786e-07,,0.19795469495236717,MA_cross_Sentiment,62,737854.6930555556,Broker,62,1000.0,1000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,,DrawDown,62,0.0,0.0
63,newsRACE,63,2021-03-05 16:40:00,184.4600067138672,184.4600067138672,184.24000549316406,184.24000549316406,-1.4298186714147896e-07,,0.14484389298610445,MA_cross_Sentiment,63,737854.6944444445,Broker,63,1000.0,1000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,,DrawDown,63,0.0,0.0
64,newsRACE,64,2021-03-05 16:42:00,184.33999633789062,184.33999633789062,184.1999969482422,184.1999969482422,-1.251655548563827e-07,,0.09414784317195567,MA_cross_Sentiment,64,737854.6958333333,Broker,64,1000.0,1000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,,DrawDown,64,0.0,0.0
65,newsRACE,65,2021-03-05 16:44:00,184.61000061035156,184.89999389648438,184.61000061035156,184.61500549316406,-7.750493247588958e-08,,0.045866545509920933,MA_cross_Sentiment,65,737854.6972222222,Broker,65,1000.0,1000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,,DrawDown,65,0.0,0.0
66,newsRACE,66,2021-03-05 16:48:00,184.89999389648438,185.00999450683594,184.89999389648438,185.00999450683594,1.0734924257128647e-07,,-0.04345179335780681,MA_cross_Sentiment,66,737854.7,Broker,66,1000.0,1000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,,DrawDown,66,0.0,0.0
67,newsRACE,67,2021-03-05 16:52:00,184.8101043701172,185.3000030517578,184.8101043701172,185.3000030517578,4.1158065800004906e-07,,-0.12311112361707877,MA_cross_Sentiment,67,737854.7027777778,Broker,67,1000.0,1000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,,DrawDown,67,0.0,0.0
68,newsRACE,68,2021-03-05 16:56:00,185.3300018310547,185.75999450683594,185.3300018310547,185.75999450683594,8.351893138103991e-07,,-0.19311144526789473,MA_cross_Sentiment,68,737854.7055555555,Broker,68,1000.0,1000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,,DrawDown,68,0.0,0.0
69,newsRACE,69,2021-03-05 16:58:00,185.82000732421875,185.82000732421875,185.82000732421875,185.82000732421875,1.091760106858669e-06,,-0.22448947786513182,MA_cross_Sentiment,69,737854.7069444444,Broker,69,1000.0,1000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,,DrawDown,69,0.0,0.0
