===============================================================================
Id,newsF,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
67,newsF,67,2021-03-05 16:42:00,11.78499984741211,11.79990005493164,11.742500305175781,11.79990005493164,0.013272214223568418,,-0.0027988326937321457,MA_cross_Sentiment,67,737854.6958333333,Broker,67,1000.0,1000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,,DrawDown,67,0.0,0.0
68,newsF,68,2021-03-05 16:44:00,11.789999961853027,11.84000015258789,11.789999961853027,11.824999809265137,0.03064677308809626,,-0.005808008579847198,MA_cross_Sentiment,68,737854.6972222222,Broker,68,1000.0,1000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,,DrawDown,68,0.0,0.0
69,newsF,69,2021-03-05 16:46:00,11.819999694824219,11.829999923706055,11.800000190734863,11.8149995803833,0.051828295892486095,,-0.008383623842645564,MA_cross_Sentiment,69,737854.6986111111,Broker,69,1000.0,1000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,,DrawDown,69,0.0,0.0
70,newsF,70,2021-03-05 16:48:00,11.8100004196167,11.847700119018555,11.8100004196167,11.8149995803833,0.07504449843015314,,-0.006662255587929694,MA_cross_Sentiment,70,737854.7,Broker,70,1000.0,1000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,,DrawDown,70,0.0,0.0
71,newsF,71,2021-03-05 16:50:00,11.819999694824219,11.850000381469727,11.789999961853027,11.835000038146973,0.1,,0.0,MA_cross_Sentiment,71,737854.7013888889,Broker,71,1000.0,1000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,,DrawDown,71,0.0,0.0
72,newsF,72,2021-03-05 16:52:00,11.829999923706055,11.854999542236328,11.819999694824219,11.849900245666504,0.12669480060202662,,0.011603142921143523,MA_cross_Sentiment,72,737854.7027777778,Broker,72,1000.0,1000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,,DrawDown,72,0.0,0.0
73,newsF,73,2021-03-05 16:54:00,11.845000267028809,11.85990047454834,11.800000190734863,11.85990047454834,0.15512890023623307,,0.02814717317550088,MA_cross_Sentiment,73,737854.7041666667,Broker,73,1000.0,1000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,,DrawDown,73,0.0,0.0
74,newsF,74,2021-03-05 16:56:00,11.857000350952148,11.899999618530273,11.850000381469727,11.890000343322754,0.1853022989026193,,0.04963209076307203,MA_cross_Sentiment,74,737854.7055555555,Broker,74,1000.0,1000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,,DrawDown,74,0.0,0.0
75,newsF,75,2021-03-05 16:58:00,11.890000343322754,11.927800178527832,11.880000114440918,11.90999984741211,0.2172149966011853,,0.07605789568385705,MA_cross_Sentiment,75,737854.7069444444,Broker,75,1000.0,1000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,,DrawDown,75,0.0,0.0
76,newsF,76,2021-03-05 17:00:00,11.90999984741211,11.920000076293945,11.880000114440918,11.914999961853027,0.250866993331931,,0.10742458793785588,MA_cross_Sentiment,76,737854.7083333334,Broker,76,1000.0,1000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,,DrawDown,76,0.0,0.0
